mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__bagging_temperature,param_model__colsample_bylevel,param_model__depth,param_model__iterations,param_model__l2_leaf_reg,param_model__learning_rate,param_model__max_bin,param_model__min_data_in_leaf,param_model__random_strength,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
15.956148544947306,0.48889328175023367,0.07156205177307129,0.0054714554720146314,0.3745401188473625,0.9802857225639665,6,171,6.986584841970366,0.033402796066365474,512,23,0.11616722433639892,0.9464704583099741,"{'model__bagging_temperature': np.float64(0.3745401188473625), 'model__colsample_bylevel': np.float64(0.9802857225639665), 'model__depth': 6, 'model__iterations': 171, 'model__l2_leaf_reg': np.float64(6.986584841970366), 'model__learning_rate': np.float64(0.033402796066365474), 'model__max_bin': 512, 'model__min_data_in_leaf': 23, 'model__random_strength': np.float64(0.11616722433639892), 'model__subsample': np.float64(0.9464704583099741)}",,,,,,1,,,,,
12.929438591003418,1.122890878738306,0.07234509785970052,0.013061136414045537,0.1952429877980445,0.888980846104602,6,103,1.2431596643145384,0.10682084438607517,128,44,1.8809171687058286,0.9815714308010349,"{'model__bagging_temperature': np.float64(0.1952429877980445), 'model__colsample_bylevel': np.float64(0.888980846104602), 'model__depth': 6, 'model__iterations': 103, 'model__l2_leaf_reg': np.float64(1.2431596643145384), 'model__learning_rate': np.float64(0.10682084438607517), 'model__max_bin': 128, 'model__min_data_in_leaf': 44, 'model__random_strength': np.float64(1.8809171687058286), 'model__subsample': np.float64(0.9815714308010349)}",,,,,,1,,,,,
12.526665767033895,0.13649075826334325,0.0523219108581543,0.0029357609624726354,0.9148643902204485,0.7480634801021777,4,136,10.283185625877254,0.07422762224759714,128,31,1.9272399541785057,0.941203782186944,"{'model__bagging_temperature': np.float64(0.9148643902204485), 'model__colsample_bylevel': np.float64(0.7480634801021777), 'model__depth': 4, 'model__iterations': 136, 'model__l2_leaf_reg': np.float64(10.283185625877254), 'model__learning_rate': np.float64(0.07422762224759714), 'model__max_bin': 128, 'model__min_data_in_leaf': 31, 'model__random_strength': np.float64(1.9272399541785057), 'model__subsample': np.float64(0.941203782186944)}",,,,,,1,,,,,
31.28339632352193,0.08086058660076564,0.07078909873962402,0.006648758583351467,0.2944488920695857,0.7540390914407701,4,355,5.852798742763157,0.06590303006410739,254,31,1.6884262814526227,0.9720067339243328,"{'model__bagging_temperature': np.float64(0.2944488920695857), 'model__colsample_bylevel': np.float64(0.7540390914407701), 'model__depth': 4, 'model__iterations': 355, 'model__l2_leaf_reg': np.float64(5.852798742763157), 'model__learning_rate': np.float64(0.06590303006410739), 'model__max_bin': 254, 'model__min_data_in_leaf': 31, 'model__random_strength': np.float64(1.6884262814526227), 'model__subsample': np.float64(0.9720067339243328)}",,,,,,1,,,,,
34.42254932721456,0.0391228984375144,0.09210538864135742,0.003994680480205073,0.0704161308495439,0.6835674870461441,9,250,2.40084015236524,0.0877494478545605,254,26,1.4815372355084089,0.8788062963981071,"{'model__bagging_temperature': np.float64(0.0704161308495439), 'model__colsample_bylevel': np.float64(0.6835674870461441), 'model__depth': 9, 'model__iterations': 250, 'model__l2_leaf_reg': np.float64(2.40084015236524), 'model__learning_rate': np.float64(0.0877494478545605), 'model__max_bin': 254, 'model__min_data_in_leaf': 26, 'model__random_strength': np.float64(1.4815372355084089), 'model__subsample': np.float64(0.8788062963981071)}",,,,,,1,,,,,
30.86665455500285,0.09611302121389197,0.0955640474955241,0.0026836823290612467,0.7024840839871093,0.743796460487902,8,269,9.093611554785136,0.13151700920187712,128,24,1.8264811051129426,0.8045369595443751,"{'model__bagging_temperature': np.float64(0.7024840839871093), 'model__colsample_bylevel': np.float64(0.743796460487902), 'model__depth': 8, 'model__iterations': 269, 'model__l2_leaf_reg': np.float64(9.093611554785136), 'model__learning_rate': np.float64(0.13151700920187712), 'model__max_bin': 128, 'model__min_data_in_leaf': 24, 'model__random_strength': np.float64(1.8264811051129426), 'model__subsample': np.float64(0.8045369595443751)}",,,,,,1,,,,,
31.743382294972736,0.428441340555746,0.07901740074157715,0.005703137711268509,0.5015162946871996,0.9193180715867101,4,363,8.019668772577035,0.12936890041541516,512,23,0.05523354374740941,0.8315459582030235,"{'model__bagging_temperature': np.float64(0.5015162946871996), 'model__colsample_bylevel': np.float64(0.9193180715867101), 'model__depth': 4, 'model__iterations': 363, 'model__l2_leaf_reg': np.float64(8.019668772577035), 'model__learning_rate': np.float64(0.12936890041541516), 'model__max_bin': 512, 'model__min_data_in_leaf': 23, 'model__random_strength': np.float64(0.05523354374740941), 'model__subsample': np.float64(0.8315459582030235)}",,,,,,1,,,,,
22.88813066482544,0.06942019488964368,0.06787864367167155,0.002743547308426714,0.43847412301808697,0.8688104541180797,6,252,2.550416167277442,0.15727613324657966,254,22,0.5005027210317281,0.6155338937717693,"{'model__bagging_temperature': np.float64(0.43847412301808697), 'model__colsample_bylevel': np.float64(0.8688104541180797), 'model__depth': 6, 'model__iterations': 252, 'model__l2_leaf_reg': np.float64(2.550416167277442), 'model__learning_rate': np.float64(0.15727613324657966), 'model__max_bin': 254, 'model__min_data_in_leaf': 22, 'model__random_strength': np.float64(0.5005027210317281), 'model__subsample': np.float64(0.6155338937717693)}",,,,,,1,,,,,
37.58781456947327,0.19505056250842379,0.09133442242940266,0.0013053625188377332,0.3032655146732228,0.8148329708786621,8,363,8.699935530986108,0.042373154124526476,128,39,0.170694929987536,0.6206726884674431,"{'model__bagging_temperature': np.float64(0.3032655146732228), 'model__colsample_bylevel': np.float64(0.8148329708786621), 'model__depth': 8, 'model__iterations': 363, 'model__l2_leaf_reg': np.float64(8.699935530986108), 'model__learning_rate': np.float64(0.042373154124526476), 'model__max_bin': 128, 'model__min_data_in_leaf': 39, 'model__random_strength': np.float64(0.170694929987536), 'model__subsample': np.float64(0.6206726884674431)}",,,,,,1,,,,,
26.816726684570312,1.5956861713839885,0.08390164375305176,0.002167928170301486,0.531354631568148,0.8162540486440426,7,243,10.758520794625346,0.08744505224517929,254,19,1.5903723895374073,0.7083329005048297,"{'model__bagging_temperature': np.float64(0.531354631568148), 'model__colsample_bylevel': np.float64(0.8162540486440426), 'model__depth': 7, 'model__iterations': 243, 'model__l2_leaf_reg': np.float64(10.758520794625346), 'model__learning_rate': np.float64(0.08744505224517929), 'model__max_bin': 254, 'model__min_data_in_leaf': 19, 'model__random_strength': np.float64(1.5903723895374073), 'model__subsample': np.float64(0.7083329005048297)}",,,,,,1,,,,,
31.91662335395813,4.425659750345029,0.1270629564921061,0.014382663982816535,0.4389714207056361,0.6313825525369063,8,216,1.8087296661719767,0.07424717124101615,128,1,0.34658864014169155,0.6625748170684344,"{'model__bagging_temperature': np.float64(0.4389714207056361), 'model__colsample_bylevel': np.float64(0.6313825525369063), 'model__depth': 8, 'model__iterations': 216, 'model__l2_leaf_reg': np.float64(1.8087296661719767), 'model__learning_rate': np.float64(0.07424717124101615), 'model__max_bin': 128, 'model__min_data_in_leaf': 1, 'model__random_strength': np.float64(0.34658864014169155), 'model__subsample': np.float64(0.6625748170684344)}",,,,,,1,,,,,
42.270942529042564,2.9716439236569507,0.10947656631469727,0.02578159309730629,0.25024289816459533,0.8196906658824482,4,336,3.7993389694594284,0.15322979209947912,512,5,1.2234414924687045,0.7678400249711159,"{'model__bagging_temperature': np.float64(0.25024289816459533), 'model__colsample_bylevel': np.float64(0.8196906658824482), 'model__depth': 4, 'model__iterations': 336, 'model__l2_leaf_reg': np.float64(3.7993389694594284), 'model__learning_rate': np.float64(0.15322979209947912), 'model__max_bin': 512, 'model__min_data_in_leaf': 5, 'model__random_strength': np.float64(1.2234414924687045), 'model__subsample': np.float64(0.7678400249711159)}",,,,,,1,,,,,
30.889007329940796,0.5197347642044066,0.098206361134847,0.0019357851332327007,0.24773098950115746,0.7423890714605046,8,185,1.1439348862975587,0.027410896076037437,128,47,0.08145760463794027,0.9421842336044028,"{'model__bagging_temperature': np.float64(0.24773098950115746), 'model__colsample_bylevel': np.float64(0.7423890714605046), 'model__depth': 8, 'model__iterations': 185, 'model__l2_leaf_reg': np.float64(1.1439348862975587), 'model__learning_rate': np.float64(0.027410896076037437), 'model__max_bin': 128, 'model__min_data_in_leaf': 47, 'model__random_strength': np.float64(0.08145760463794027), 'model__subsample': np.float64(0.9421842336044028)}",,,,,,1,,,,,
43.91758362452189,2.2190236320472665,0.0906226634979248,0.0032031156659289364,0.7036578593800237,0.78966953163493,5,440,5.734717707805657,0.03598028048650228,254,37,0.7970094687947469,0.8463400392208866,"{'model__bagging_temperature': np.float64(0.7036578593800237), 'model__colsample_bylevel': np.float64(0.78966953163493), 'model__depth': 5, 'model__iterations': 440, 'model__l2_leaf_reg': np.float64(5.734717707805657), 'model__learning_rate': np.float64(0.03598028048650228), 'model__max_bin': 254, 'model__min_data_in_leaf': 37, 'model__random_strength': np.float64(0.7970094687947469), 'model__subsample': np.float64(0.8463400392208866)}",,,,,,1,,,,,
33.838233947753906,0.9882004760482767,0.08737770716349284,0.009124584721450068,0.6350936508676438,0.6181216039088178,5,349,10.33436308079483,0.08515598258728888,128,45,0.3258688541628594,0.6282274989601719,"{'model__bagging_temperature': np.float64(0.6350936508676438), 'model__colsample_bylevel': np.float64(0.6181216039088178), 'model__depth': 5, 'model__iterations': 349, 'model__l2_leaf_reg': np.float64(10.33436308079483), 'model__learning_rate': np.float64(0.08515598258728888), 'model__max_bin': 128, 'model__min_data_in_leaf': 45, 'model__random_strength': np.float64(0.3258688541628594), 'model__subsample': np.float64(0.6282274989601719)}",,,,,,1,,,,,
48.274759928385414,1.6135760832577337,0.09223699569702148,0.0029622808028549282,0.6424192782063156,0.6106045242166487,6,439,6.75474177875879,0.06822548893097828,128,33,1.622408353472006,0.9282557902975821,"{'model__bagging_temperature': np.float64(0.6424192782063156), 'model__colsample_bylevel': np.float64(0.6106045242166487), 'model__depth': 6, 'model__iterations': 439, 'model__l2_leaf_reg': np.float64(6.75474177875879), 'model__learning_rate': np.float64(0.06822548893097828), 'model__max_bin': 128, 'model__min_data_in_leaf': 33, 'model__random_strength': np.float64(1.622408353472006), 'model__subsample': np.float64(0.9282557902975821)}",,,,,,1,,,,,
11.719075043996176,0.1080688962276084,0.05609607696533203,0.007069243276534358,0.6259396701015728,0.9281707375085072,5,142,2.9579113478929644,0.020404195131274817,512,46,0.036443651303099456,0.6377771843023713,"{'model__bagging_temperature': np.float64(0.6259396701015728), 'model__colsample_bylevel': np.float64(0.9281707375085072), 'model__depth': 5, 'model__iterations': 142, 'model__l2_leaf_reg': np.float64(2.9579113478929644), 'model__learning_rate': np.float64(0.020404195131274817), 'model__max_bin': 512, 'model__min_data_in_leaf': 46, 'model__random_strength': np.float64(0.036443651303099456), 'model__subsample': np.float64(0.6377771843023713)}",,,,,,1,,,,,
22.442767302195232,1.8009766559508367,0.07284434636433919,0.003440999534274201,0.6830067734163568,0.6284754593840916,8,189,4.406245694642401,0.049104179235385466,512,4,1.3857807173838788,0.739334641781279,"{'model__bagging_temperature': np.float64(0.6830067734163568), 'model__colsample_bylevel': np.float64(0.6284754593840916), 'model__depth': 8, 'model__iterations': 189, 'model__l2_leaf_reg': np.float64(4.406245694642401), 'model__learning_rate': np.float64(0.049104179235385466), 'model__max_bin': 512, 'model__min_data_in_leaf': 4, 'model__random_strength': np.float64(1.3857807173838788), 'model__subsample': np.float64(0.739334641781279)}",,,,,,1,,,,,
27.330421288808186,0.09310073937499727,0.06280024846394856,0.00316055790899385,0.9366481518557073,0.6156745306702585,4,376,10.675805515202475,0.0921957824872131,128,9,1.1370405674999167,0.8303698301032338,"{'model__bagging_temperature': np.float64(0.9366481518557073), 'model__colsample_bylevel': np.float64(0.6156745306702585), 'model__depth': 4, 'model__iterations': 376, 'model__l2_leaf_reg': np.float64(10.675805515202475), 'model__learning_rate': np.float64(0.0921957824872131), 'model__max_bin': 128, 'model__min_data_in_leaf': 9, 'model__random_strength': np.float64(1.1370405674999167), 'model__subsample': np.float64(0.8303698301032338)}",,,,,,1,,,,,
14.824761231740316,0.0625226210695817,0.051241556803385414,0.0003608380631823088,0.7316477552996402,0.6510758917689862,4,195,4.408035402530178,0.1496135988405347,128,12,0.8579880547500367,0.9003484271165989,"{'model__bagging_temperature': np.float64(0.7316477552996402), 'model__colsample_bylevel': np.float64(0.6510758917689862), 'model__depth': 4, 'model__iterations': 195, 'model__l2_leaf_reg': np.float64(4.408035402530178), 'model__learning_rate': np.float64(0.1496135988405347), 'model__max_bin': 128, 'model__min_data_in_leaf': 12, 'model__random_strength': np.float64(0.8579880547500367), 'model__subsample': np.float64(0.9003484271165989)}",,,,,,1,,,,,
33.09636044502258,0.08954817618878837,0.06400791803995769,0.0013808952499246698,0.7545428740846823,0.641249547534373,4,468,6.052523724478571,0.13396861991616124,254,13,1.791046456992401,0.7556806714936652,"{'model__bagging_temperature': np.float64(0.7545428740846823), 'model__colsample_bylevel': np.float64(0.641249547534373), 'model__depth': 4, 'model__iterations': 468, 'model__l2_leaf_reg': np.float64(6.052523724478571), 'model__learning_rate': np.float64(0.13396861991616124), 'model__max_bin': 254, 'model__min_data_in_leaf': 13, 'model__random_strength': np.float64(1.791046456992401), 'model__subsample': np.float64(0.7556806714936652)}",,,,,,1,,,,,
34.88480488459269,0.8712913905774237,0.09197672208150227,0.0015650051762703733,0.01083765148029836,0.9621527905677054,7,364,4.193136375904149,0.15250929505762073,512,47,0.1665688223905193,0.6366816589033925,"{'model__bagging_temperature': np.float64(0.01083765148029836), 'model__colsample_bylevel': np.float64(0.9621527905677054), 'model__depth': 7, 'model__iterations': 364, 'model__l2_leaf_reg': np.float64(4.193136375904149), 'model__learning_rate': np.float64(0.15250929505762073), 'model__max_bin': 512, 'model__min_data_in_leaf': 47, 'model__random_strength': np.float64(0.1665688223905193), 'model__subsample': np.float64(0.6366816589033925)}",,,,,,1,,,,,
47.17294359207153,3.2682355674125647,0.0978697141011556,0.0068680170287526284,0.9730105547524456,0.7572390898667042,9,363,7.311386259972629,0.12922169553124727,254,33,1.1538077692527182,0.7970070775275455,"{'model__bagging_temperature': np.float64(0.9730105547524456), 'model__colsample_bylevel': np.float64(0.7572390898667042), 'model__depth': 9, 'model__iterations': 363, 'model__l2_leaf_reg': np.float64(7.311386259972629), 'model__learning_rate': np.float64(0.12922169553124727), 'model__max_bin': 254, 'model__min_data_in_leaf': 33, 'model__random_strength': np.float64(1.1538077692527182), 'model__subsample': np.float64(0.7970070775275455)}",,,,,,1,,,,,
19.65616726875305,0.08164804605220895,0.062238454818725586,0.003069551611702986,0.7464914051180241,0.8598531596188859,6,227,6.683086033354716,0.024051215174213873,512,22,0.5304047353634509,0.6975958573516334,"{'model__bagging_temperature': np.float64(0.7464914051180241), 'model__colsample_bylevel': np.float64(0.8598531596188859), 'model__depth': 6, 'model__iterations': 227, 'model__l2_leaf_reg': np.float64(6.683086033354716), 'model__learning_rate': np.float64(0.024051215174213873), 'model__max_bin': 512, 'model__min_data_in_leaf': 22, 'model__random_strength': np.float64(0.5304047353634509), 'model__subsample': np.float64(0.6975958573516334)}",,,,,,1,,,,,
